Proyecto,Módulo,Desarrollador,Líneas de código,Número de bugs,Tiempo de desarrollo (horas),Costo (USD),Satisfacción del cliente,Antigüedad del desarrollador (años),Idioma de programación,Plataforma,Tipo de proyecto,Fase del proyecto,Tamaño del equipo,Tecnologías
Marsh and Sons,real,Alicia Wallace,2618,20,183,22539,1,10,Kotlin,Desktop,Application,Design,4,"college, notice, radio"
"Smith, Shelton and Boyle",fly,Sara Martin,2695,23,231,39540,4,15,Javascript,Web,Management System,Design,5,"enter, mean, appear"
"Davis, Schwartz and Anderson",source,John Johnson,7649,22,204,41393,4,9,Python,Web,Application,Design,9,"wonder, if, lose"
Morse Ltd,huge,Dakota Larson,2615,49,261,16769,1,11,Kotlin,Mobile,Application,Testing,7,"however, professor, hotel"
Vaughn-Dunn,skill,Crystal Anderson,2006,17,153,57898,3,13,Python,Web,Management System,Deployment,1,"teach, maybe, parent"
"Ballard, Davenport and Cooper",increase,Mr. Eric Kidd,5810,0,99,61319,4,14,Kotlin,Desktop,Management System,Design,4,"travel, happy, the"
Ferguson-Massey,sign,April Juarez,1844,6,382,4669,1,11,Python,Desktop,Web site,Testing,3,"parent, themselves, follow"
"Hatfield, Curtis and Hooper",inside,Ricky Carter,5655,31,478,99622,5,7,Python,Desktop,Web site,Design,4,"deep, notice, enjoy"
Gonzales-Graves,speech,Connie Kent,6145,19,432,85524,3,8,Javascript,Desktop,Management System,Deployment,6,"report, military, century"
Lyons PLC,people,Christina Bennett,7304,14,146,98368,1,3,Python,Web,Management System,Testing,4,"management, final, check"
"Moreno, Williams and Duran",majority,Jessica Holloway,2794,40,90,54007,2,13,Java,Desktop,Application,Deployment,2,"always, yeah, activity"
Pierce and Sons,consider,Collin Mendez,3873,18,497,9520,1,6,Java,Desktop,Management System,Testing,7,"learn, kid, action"
Fox-Melton,well,Ashley Huffman,7843,25,105,29762,3,3,Java,Mobile,Management System,Design,1,"treatment, card, newspaper"
Yang Group,sure,Russell Sanders,1708,9,13,33045,3,15,Java,Web,Application,Deployment,8,"amount, mission, article"
Lawrence PLC,surface,Paula Smith,5279,9,482,80195,2,15,Kotlin,Desktop,Web site,Design,1,"put, energy, agree"
Mercer and Sons,upon,Diane Delacruz,5767,13,331,6682,4,4,Python,Web,Management System,Development,10,"reality, do, admit"
Little-Smith,significant,Wendy Padilla,4199,16,242,80382,5,8,Kotlin,Desktop,Web site,Development,10,"future, drive, leader"
"Koch, Chandler and Wheeler",be,Christopher Villanueva,2056,18,423,4770,1,1,Java,Web,Application,Design,9,"within, their, from"
"Mcmahon, Townsend and Armstrong",these,Mary Thomas,5500,4,143,53435,5,3,Kotlin,Mobile,Application,Design,6,"mission, may, because"
"Pugh, Gonzalez and Winters",TV,Melissa Sandoval,1357,32,330,51355,4,11,Javascript,Desktop,Application,Development,7,"staff, build, field"
"Grant, Cook and Ball",ready,Michelle Crawford,1265,15,406,31399,2,3,Kotlin,Mobile,Management System,Design,5,"enough, trade, hope"
Hughes Group,not,Kelly Harvey DVM,5008,3,208,34714,2,5,Python,Desktop,Application,Testing,3,"task, wonder, create"
Stewart-Lawrence,production,Janice Smith,4767,11,320,74347,1,6,Javascript,Web,Application,Deployment,6,"trouble, manage, nation"
"Davis, Torres and Dunn",explain,Tammy Garcia,3449,35,173,92446,1,12,Javascript,Desktop,Web site,Deployment,7,"trip, spend, arm"
"Lindsey, Padilla and Bowers",protect,Nathan Love,9971,5,282,3904,4,4,Javascript,Desktop,Application,Testing,5,"rest, save, thing"
Vazquez PLC,friend,Gabrielle Brown,9325,1,53,71053,5,11,Javascript,Web,Management System,Design,6,"worry, us, here"
"Crawford, Craig and Diaz",interesting,Henry Adams,3284,27,213,65984,1,9,Kotlin,Desktop,Management System,Deployment,3,"guess, possible, sea"
Smith PLC,her,Brandon Douglas,8910,12,229,44303,1,7,Python,Desktop,Web site,Development,7,"power, play, store"
"Adams, Price and Nunez",city,Todd Rodriguez,105,39,285,11070,4,6,Python,Web,Management System,Design,6,"newspaper, almost, politics"
"Anderson, Moran and Jones",expect,Sara Jackson,9564,50,138,22693,3,7,Python,Mobile,Web site,Design,7,"recognize, child, common"
Nichols-Jones,forward,Jamie Snyder,4221,36,292,35417,1,14,Kotlin,Web,Management System,Deployment,5,"matter, new, everybody"
"Anderson, Rice and Stevens",society,Jodi Roach,280,31,250,99102,3,12,Java,Desktop,Application,Design,2,"challenge, rich, reflect"
"Ramsey, Johnson and Schaefer",everybody,Gabrielle Bennett,7664,18,480,52843,5,9,Java,Desktop,Web site,Testing,2,"would, less, lawyer"
Johnson Group,ever,Sharon Perez,9130,1,373,8586,2,14,Kotlin,Mobile,Management System,Development,9,"idea, best, claim"
"Reyes, Foster and Mcdonald",concern,Mr. Cesar Sanchez,7880,43,353,46709,5,10,Javascript,Mobile,Management System,Testing,8,"stage, begin, standard"
Burton-Turner,program,Krista Watson,3918,30,54,67914,1,7,Python,Web,Application,Deployment,9,"at, seek, size"
Ortiz Ltd,different,Ryan Rivera,7238,23,42,87307,5,12,Java,Web,Application,Testing,9,"evening, since, idea"
Griffin-Thompson,share,Jeffrey West,8117,28,187,64497,2,4,Kotlin,Desktop,Management System,Testing,8,"ball, no, your"
Mitchell-Bradford,worry,Derrick Chen,737,29,261,18556,2,5,Java,Web,Web site,Design,1,"site, goal, save"
Payne-Coffey,though,Denise Flores,9115,26,115,87834,3,10,Java,Web,Application,Testing,3,"rock, four, in"
"Patterson, Sawyer and Smith",pass,James Brown,1161,3,120,49726,2,13,Kotlin,Desktop,Web site,Deployment,6,"challenge, man, people"
Cortez-Jenkins,environmental,Charles Willis,4146,29,289,45723,3,13,Kotlin,Web,Application,Deployment,7,"less, effort, trouble"
Heath-Robinson,suggest,Linda Cox,7045,39,243,83299,4,12,Python,Desktop,Web site,Development,1,"too, foot, network"
Cooper Inc,feeling,Tyler Howard,1783,22,159,97405,2,5,Python,Web,Management System,Testing,1,"her, wife, employee"
Miller Group,PM,John Huber,2642,10,146,1384,4,14,Kotlin,Mobile,Management System,Design,9,"life, identify, church"
Wilkerson-Trujillo,number,Amber Pineda,6602,45,98,38314,5,10,Python,Desktop,Application,Deployment,8,"thing, research, morning"
Zuniga Inc,myself,Steven Rodriguez,7523,35,59,94215,2,10,Java,Mobile,Management System,Development,5,"benefit, near, believe"
Pineda Group,dinner,Richard Waller,1778,33,214,85551,4,12,Java,Desktop,Application,Deployment,5,"hotel, person, vote"
Walker PLC,back,Mathew Mcmahon,840,19,122,80299,4,6,Kotlin,Web,Web site,Development,5,"soon, discuss, every"
Schneider and Sons,race,Nathan Miller,1570,25,336,88448,2,12,Javascript,Web,Web site,Testing,4,"friend, animal, expert"
Clark Inc,student,Marcus Lucas,4450,15,192,74419,1,15,Javascript,Desktop,Web site,Development,3,"return, tax, section"
"Mitchell, Lopez and Burgess",both,Tracy Anderson,1141,3,92,63858,2,10,Javascript,Web,Application,Design,9,"off, whom, somebody"
"Hunt, Henderson and Smith",almost,Heather Meadows,5869,8,464,46052,5,13,Java,Mobile,Application,Development,8,"even, wrong, debate"
"Zamora, Bennett and Gonzalez",bring,Richard Jensen,3748,38,196,91588,1,13,Kotlin,Mobile,Web site,Development,8,"will, anything, generation"
"Hall, Wilson and Collins",get,Tina Romero,1441,5,387,65560,5,15,Java,Mobile,Management System,Development,3,"war, somebody, with"
Flores-Arnold,my,Michael Stewart,5504,32,148,43704,2,4,Kotlin,Desktop,Web site,Testing,5,"culture, degree, opportunity"
"Douglas, Keller and Harvey",language,Johnny Willis,6291,30,333,85961,3,2,Javascript,Mobile,Web site,Development,9,"turn, under, rate"
"Hunt, Mullen and Jones",hair,Michael Willis,8183,43,165,78720,2,1,Java,Desktop,Application,Design,8,"contain, yet, summer"
"Fletcher, Delgado and Coleman",company,Connor Martinez,7325,44,303,17565,2,6,Java,Desktop,Web site,Testing,10,"brother, thus, war"
Tucker-Mendez,American,Scott Sosa,7553,8,191,10116,2,11,Java,Web,Application,Development,3,"every, plant, lot"
Thompson-Bright,someone,Beth Mcneil,4551,28,329,48663,1,13,Python,Desktop,Web site,Testing,8,"suggest, official, fine"
Boyer-Grant,give,Samantha Wheeler,1825,35,300,63587,1,13,Java,Desktop,Management System,Design,1,"hundred, evening, any"
"Roberts, Bishop and Lyons",relate,Wesley Price,2869,47,335,14289,4,15,Python,Mobile,Application,Design,3,"wear, themselves, only"
"Martinez, Miller and Watkins",least,Eric Lopez,9291,26,281,67751,3,2,Kotlin,Web,Management System,Deployment,9,"property, early, employee"
Wolfe LLC,they,Christina Moore,5024,17,295,19666,2,2,Java,Desktop,Web site,Deployment,9,"father, top, fill"
Hubbard Inc,left,Kimberly Dixon,9837,17,51,14959,1,10,Java,Web,Management System,Testing,5,"amount, collection, everything"
Smith and Sons,action,Sarah Moore,7119,45,172,69947,1,2,Python,Desktop,Application,Development,7,"suddenly, yes, address"
"Mcclain, Christian and Higgins",throw,Shannon Davis,5035,21,12,63141,5,8,Python,Desktop,Application,Development,7,"various, human, area"
Kennedy-Williams,down,Mary Jenkins,2815,25,429,67207,5,5,Javascript,Desktop,Web site,Design,8,"baby, station, shoulder"
Leach Group,value,Casey Ramirez,2902,14,318,13817,4,7,Java,Desktop,Web site,Design,4,"other, board, career"
"Kirby, Green and Hernandez",still,Mark Williams V,8273,11,58,29094,1,3,Javascript,Mobile,Web site,Testing,10,"end, study, responsibility"
White-Yu,throughout,Monica Patel,3433,40,187,15641,4,2,Kotlin,Web,Web site,Development,3,"once, different, natural"
Contreras Group,by,Alexa Underwood,2165,32,59,70639,3,10,Python,Mobile,Management System,Development,1,"bag, send, again"
"Reilly, Kelly and Huber",notice,Derek Rodriguez,549,17,122,32097,1,6,Java,Web,Application,Deployment,2,"later, until, floor"
Nelson Inc,language,Stephen Nash,4467,6,22,77655,3,8,Javascript,Web,Management System,Testing,8,"system, music, also"
Butler-Murray,season,Kelli Kim,8611,28,300,57839,3,4,Python,Web,Web site,Deployment,2,"quality, condition, executive"
"Smith, Price and Morton",worker,Richard Mcdaniel,9769,18,131,98970,3,7,Javascript,Web,Management System,Testing,4,"mouth, wish, send"
"Nelson, Romero and Stone",Republican,Olivia Ruiz,7454,7,244,1060,5,11,Kotlin,Web,Web site,Design,9,"sound, quite, anything"
Conley Group,program,Christopher Moore,7186,38,96,89442,2,2,Java,Web,Application,Development,4,"least, suddenly, and"
Brown PLC,alone,Tanya Jackson,7378,36,198,59176,2,7,Python,Web,Application,Testing,2,"firm, store, add"
Anderson Ltd,site,Patrick Melendez,6518,3,85,44614,5,8,Javascript,Web,Application,Deployment,4,"truth, as, economic"
West LLC,process,Danny Becker,5586,37,169,17316,4,8,Javascript,Desktop,Web site,Deployment,4,"adult, music, player"
"Ewing, Jones and Long",current,Maria Price,1692,48,285,43650,1,3,Javascript,Desktop,Application,Design,8,"close, must, lot"
Oliver Inc,pass,Brian Sullivan,3273,39,114,2074,3,2,Kotlin,Mobile,Web site,Development,8,"sister, month, wonder"
Matthews Ltd,free,Daniel Hall,3166,15,240,88493,1,13,Javascript,Mobile,Application,Testing,4,"month, give, senior"
Keller Ltd,more,Hunter Lopez,5266,3,447,55902,4,4,Kotlin,Web,Application,Design,10,"who, race, meet"
Snyder-Lopez,employee,Tracy Fernandez,4620,5,109,92685,1,11,Java,Mobile,Application,Development,6,"exactly, power, apply"
King and Sons,nature,Jonathan Gomez,4532,38,209,7272,4,9,Kotlin,Mobile,Web site,Testing,9,"enough, event, daughter"
Floyd Group,be,Mark Smith,2005,26,361,12588,5,4,Kotlin,Web,Application,Development,8,"science, year, another"
"Rhodes, Hale and Ortiz",care,Monica Mathews,3529,32,68,35337,4,10,Python,Desktop,Management System,Design,8,"somebody, appear, cost"
Knight-Martinez,challenge,Taylor Frank,7351,29,201,27090,4,9,Java,Web,Web site,Development,10,"may, wide, answer"
Hayes Ltd,every,Phillip Wyatt,5510,16,74,69201,4,15,Javascript,Desktop,Application,Development,10,"long, event, beautiful"
"Smith, Myers and Poole",recent,Devon Vazquez,8781,14,195,59728,3,6,Java,Web,Web site,Deployment,2,"box, reality, world"
"Bean, Flowers and Wagner",carry,Benjamin Woods,1504,38,333,75984,2,14,Python,Web,Web site,Design,9,"not, eye, campaign"
Williams-Mitchell,finally,Mr. Matthew Keith MD,7205,42,325,28116,5,1,Java,Web,Web site,Development,10,"discover, physical, many"
Hall Group,book,Juan Thornton,7497,28,121,49695,5,5,Kotlin,Mobile,Management System,Development,6,"paper, wear, manager"
Flores LLC,agreement,Madison Chan,4110,39,13,17388,1,3,Javascript,Web,Application,Design,8,"democratic, friend, good"
"Marquez, Jackson and Spencer",little,Alexander Snow,6528,42,344,79073,3,1,Java,Mobile,Web site,Development,10,"phone, story, yard"
"Frost, Whitaker and Yoder",south,Jane Robinson,2024,14,158,97674,5,11,Java,Mobile,Application,Design,5,"offer, of, cause"
Jones PLC,control,Jason Chambers,8302,15,470,84720,1,13,Kotlin,Web,Application,Deployment,8,"drop, throughout, long"
Sanchez Inc,case,Tyler Day,4105,5,354,64099,3,15,Javascript,Web,Application,Deployment,8,"check, your, before"
"Bell, Johnston and Jones",else,Valerie Allen,7390,25,268,9305,2,4,Java,Web,Application,Design,6,"store, sometimes, be"
Woods Ltd,seven,Kendra Bennett,733,33,16,32233,2,1,Java,Web,Management System,Design,1,"nothing, similar, almost"
"Jackson, White and Bowen",do,William Mendez,1076,0,230,11534,2,3,Python,Web,Application,Testing,10,"hotel, four, impact"
"Roberts, Payne and Pennington",wait,Kaitlin Page,2294,31,72,5977,5,7,Javascript,Mobile,Management System,Design,6,"away, sort, thought"
Coleman-Chen,increase,Christopher Martinez,4056,4,96,37136,5,4,Javascript,Mobile,Web site,Testing,4,"unit, represent, past"
Schroeder-Warren,statement,Darrell Martin,1801,11,205,9913,5,2,Kotlin,Web,Web site,Deployment,10,"foot, price, business"
Hurley-Goodman,development,William Goodman,4590,46,144,82147,1,1,Python,Desktop,Web site,Deployment,6,"individual, quality, less"
"Bullock, Schmidt and Adams",list,Phillip Fuller,4131,42,156,35686,2,4,Kotlin,Web,Application,Deployment,3,"discover, analysis, feeling"
Sanchez-Thompson,account,Kimberly Harvey,9658,12,67,17886,3,3,Java,Web,Management System,Development,9,"wide, figure, building"
Dominguez Inc,government,Joseph Hooper,1431,18,326,54057,1,7,Java,Mobile,Management System,Deployment,1,"especially, set, case"
Ramirez-Cain,improve,Steven Garcia,5714,25,42,28423,2,11,Javascript,Desktop,Application,Deployment,8,"theory, second, above"
Adams-Thompson,ability,Robert Ponce,690,27,84,92621,2,4,Java,Mobile,Application,Development,8,"scene, cost, marriage"
Mcgee LLC,way,Miranda Adams,8250,23,106,57371,2,5,Kotlin,Mobile,Application,Testing,1,"standard, agent, even"
"Dominguez, Vasquez and Miller",really,Taylor Robinson,693,36,304,12845,1,12,Python,Web,Application,Development,2,"assume, after, there"
"Martin, Jackson and Anderson",generation,Brandon Ferguson,3630,20,237,16100,1,14,Javascript,Web,Management System,Development,9,"daughter, issue, she"
Anderson-Ross,catch,Kevin Miller,5685,47,488,11473,4,2,Python,Web,Web site,Deployment,5,"year, voice, tree"
"Liu, Garcia and Grant",white,Patricia Santiago MD,163,48,209,51474,1,3,Kotlin,Web,Application,Design,10,"option, explain, build"
Hunter-Harvey,both,Jimmy Edwards,489,13,423,86496,5,15,Python,Desktop,Web site,Design,10,"leave, bank, soon"
Ball Inc,among,Ryan Gonzalez,3627,33,244,3614,5,15,Java,Desktop,Web site,Testing,4,"ground, bad, population"
"Simon, Andrews and Lawson",customer,Robert Miller,3749,48,434,28975,1,15,Python,Desktop,Application,Testing,5,"you, parent, down"
Pena LLC,spring,Mitchell Phillips,1617,2,405,96253,5,13,Java,Web,Web site,Development,10,"as, political, admit"
"Lambert, Parker and Williams",wish,Becky Harris,8691,13,129,25642,5,5,Java,Web,Management System,Deployment,5,"eat, wide, road"
"Jensen, Mccarthy and Ramirez",so,Mary Boone DDS,9110,47,12,91071,2,3,Javascript,Desktop,Management System,Deployment,7,"individual, candidate, family"
Smith and Sons,leg,Donald Jimenez,4503,33,204,94285,4,1,Python,Desktop,Management System,Deployment,1,"hit, their, arrive"
Hodges LLC,school,Stanley Lloyd,8564,38,91,20489,3,6,Javascript,Mobile,Web site,Design,3,"find, wrong, cultural"
Hunt PLC,resource,Casey Barnes,6406,36,161,88670,5,6,Java,Mobile,Management System,Design,8,"clearly, remember, benefit"
"Keller, Mccullough and Choi",feel,Kelly Martin,3125,1,397,20481,2,11,Javascript,Web,Management System,Design,3,"medical, day, government"
"Kelly, Fields and Cervantes",allow,Megan Flores,3589,38,192,50312,4,10,Java,Web,Management System,Testing,10,"keep, difficult, while"
Sweeney-Winters,offer,Robert Pope,9590,15,342,84153,1,14,Java,Desktop,Web site,Development,5,"opportunity, often, rest"
Lee and Sons,also,Christopher Collins,4103,43,143,26116,5,12,Java,Web,Management System,Testing,7,"meeting, friend, card"
"Jensen, Dunn and Grant",item,Margaret Butler,6122,23,417,29739,2,11,Kotlin,Desktop,Management System,Development,4,"care, education, knowledge"
"Jimenez, Rodriguez and Fisher",action,Larry Arnold,758,30,165,79467,2,14,Python,Mobile,Application,Testing,8,"official, something, I"
Anderson Inc,traditional,Emily Brown,6652,1,286,92636,4,6,Python,Desktop,Management System,Testing,8,"second, hotel, threat"
Sanders-Allen,person,Nicholas Brown,3701,33,456,46174,3,3,Java,Web,Application,Testing,3,"current, clearly, movement"
Gibson-Jackson,company,Steven Ponce,1160,12,84,69250,2,14,Java,Web,Application,Design,9,"firm, development, may"
Green Inc,property,Rachel Holland,7431,3,445,90927,1,1,Java,Desktop,Management System,Testing,3,"player, talk, example"
Boone and Sons,forward,Kristopher Farmer,9237,46,169,14281,1,10,Javascript,Web,Web site,Deployment,1,"away, town, these"
Myers Group,rest,Andrew Hooper,8537,20,391,2583,3,10,Javascript,Desktop,Application,Deployment,5,"any, inside, our"
"Mathis, Walker and Blankenship",buy,Anthony Holt,6950,39,37,97758,3,7,Kotlin,Web,Application,Design,2,"serve, walk, across"
"Harris, Cooper and Coleman",father,Kevin Cortez,4569,4,74,79747,4,15,Python,Mobile,Web site,Deployment,3,"management, sister, who"
Potts and Sons,big,Shawn Miller,2485,22,127,97587,2,7,Javascript,Mobile,Management System,Design,2,"station, arm, nearly"
Dudley and Sons,market,Heidi Smith,1521,27,259,65247,4,2,Python,Mobile,Web site,Deployment,2,"experience, walk, into"
Johnson-Griffith,represent,Daisy Jenkins,4418,19,202,41733,4,6,Python,Mobile,Web site,Testing,2,"window, medical, put"
Rodriguez-Barnett,blood,Jonathon Tran,2699,25,130,35236,2,6,Kotlin,Desktop,Web site,Testing,2,"group, real, third"
Watson-Brennan,particularly,Stephanie Davis,9562,22,67,71078,1,12,Kotlin,Desktop,Web site,Design,1,"wish, piece, evening"
"Hughes, Turner and Cole",community,Kelly Ryan,6771,37,254,56231,5,5,Python,Web,Application,Deployment,7,"measure, purpose, despite"
Hester-Taylor,question,Christine Rodriguez,8062,32,411,14237,5,15,Kotlin,Web,Web site,Development,4,"we, reduce, opportunity"
Chase-Kelly,role,Kelly Howard,2983,30,348,14552,2,13,Javascript,Desktop,Application,Design,3,"station, nation, development"
Thompson-Lawson,view,Hannah Santos,3299,0,192,68278,3,8,Kotlin,Mobile,Management System,Design,7,"policy, serve, full"
Rivera-Parker,rate,Amber Stone,8093,26,380,53097,3,11,Java,Web,Web site,Design,10,"ahead, skill, to"
"Johnson, Horton and Rios",professional,Mrs. Amy Nguyen MD,120,2,236,74566,5,4,Kotlin,Web,Application,Deployment,10,"level, product, scene"
Smith Group,clear,Brooke Price,1816,32,395,51529,1,9,Java,Web,Management System,Development,8,"any, our, rather"
Mason-Faulkner,include,Anthony Franco,9870,48,452,74282,1,13,Java,Desktop,Web site,Testing,8,"deep, training, while"
Rodriguez Inc,finish,Kelli Hamilton,637,27,414,60607,1,6,Python,Desktop,Management System,Development,7,"interesting, nearly, else"
Morgan-Baker,no,Alexis Meadows,2102,30,108,12183,4,15,Javascript,Web,Web site,Testing,3,"rule, music, minute"
Chandler-Ramos,popular,Matthew Li,4771,46,339,91360,1,9,Kotlin,Mobile,Management System,Design,2,"serve, many, decade"
Jenkins-Johnson,member,Philip Cordova,1537,30,175,69010,1,5,Javascript,Web,Web site,Deployment,4,"by, team, woman"
Acosta PLC,black,Jennifer Trujillo,4894,47,211,47658,5,4,Java,Mobile,Web site,Development,8,"charge, blood, hand"
Alexander-Williams,add,Denise Dean,8328,37,55,87947,1,15,Kotlin,Mobile,Management System,Design,3,"product, speech, pull"
"Brewer, Sanders and Wilkins",see,Devon Flores,4198,49,144,18838,3,4,Kotlin,Mobile,Application,Design,1,"society, try, family"
Pena LLC,food,Michelle Chapman,7679,10,446,68301,2,6,Kotlin,Web,Application,Design,3,"a, outside, benefit"
Combs-Shea,already,Madison Hamilton,6186,11,412,84448,2,10,Javascript,Web,Management System,Development,2,"fire, reveal, west"
"Wall, Hays and Shepherd",front,Trevor Rosales,484,4,94,66321,5,8,Python,Mobile,Web site,Testing,9,"to, service, others"
Wood-Douglas,message,Melissa Hatfield,3310,37,415,79359,5,7,Python,Web,Application,Design,7,"room, leg, PM"
Garcia-King,most,Robert Reyes,7161,1,183,83452,1,6,Kotlin,Desktop,Management System,Deployment,1,"some, meet, factor"
Lee PLC,common,Vanessa Mclaughlin,2519,40,427,33976,3,8,Python,Mobile,Management System,Development,10,"by, well, onto"
"Grant, Bryant and Diaz",perform,Heather Duncan,1907,4,452,66246,5,10,Java,Desktop,Management System,Testing,7,"off, either, well"
"Bryant, Fisher and Davis",job,Jennifer Fischer,4003,12,328,61435,5,12,Java,Web,Application,Deployment,4,"music, long, attack"
Robinson and Sons,approach,Jorge King,4112,47,361,72970,2,10,Java,Desktop,Web site,Testing,5,"one, successful, method"
Walker-Holder,laugh,Paige Graves,2607,5,310,64427,1,12,Python,Desktop,Application,Deployment,2,"alone, somebody, lawyer"
"Flores, Hill and Lyons",last,James Martin PhD,2933,36,166,81827,5,6,Javascript,Mobile,Application,Design,10,"hospital, nearly, create"
Davis-Kaufman,idea,Christopher Bell,4562,35,114,31805,5,1,Javascript,Mobile,Web site,Design,10,"purpose, beyond, summer"
"Lopez, Moore and Newton",investment,Mr. Jared Lewis,2407,23,322,83895,5,12,Kotlin,Web,Web site,Design,9,"room, word, leg"
Graham-Gallagher,religious,Amy Duke,8092,11,174,15645,3,11,Kotlin,Mobile,Application,Deployment,8,"detail, often, among"
"Robinson, Stone and Lee",general,Marc Freeman,5380,37,362,77022,2,7,Javascript,Desktop,Web site,Testing,9,"senior, through, leader"
Bush-Smith,agreement,Sabrina Campbell,8445,12,199,44807,4,10,Javascript,Web,Application,Development,5,"travel, be, of"
"Suarez, Kelley and Ellis",director,Robert Torres,6672,42,340,76400,2,1,Python,Desktop,Management System,Testing,7,"citizen, throw, us"
Smith-Beck,nice,Donna Herring,9495,15,164,4210,1,15,Javascript,Desktop,Application,Testing,6,"material, large, look"
Herrera LLC,such,Justin Brooks,8597,28,441,67567,3,14,Python,Web,Application,Deployment,9,"represent, which, book"
Figueroa-Murray,interest,Patricia Rose,6172,41,292,8898,2,13,Javascript,Mobile,Application,Design,9,"everybody, hear, who"
Mitchell-Gomez,long,Kyle Lane,4094,22,391,24930,2,2,Kotlin,Mobile,Application,Design,3,"rock, compare, realize"
"Smith, Torres and Walton",myself,Steven Faulkner,9741,17,166,79880,4,4,Kotlin,Desktop,Application,Deployment,3,"why, sure, yes"
Bishop-Smith,fine,Kelly Allen,4564,46,407,46561,2,14,Javascript,Web,Web site,Testing,6,"forget, rather, its"
"Green, Hernandez and Duran",recognize,Tanner Hughes,7533,22,402,6008,4,14,Python,Web,Application,Deployment,3,"yes, use, of"
Williams-Vazquez,spend,Kathryn Howell,9359,22,415,21503,2,8,Kotlin,Web,Application,Testing,10,"report, wife, phone"
Kim Ltd,hotel,Grace Moore,4228,36,103,16653,2,8,Kotlin,Mobile,Application,Development,8,"decade, why, hair"
Fuller-Molina,play,Michael Hansen,2570,9,290,16035,5,9,Javascript,Desktop,Web site,Testing,6,"power, others, there"
Walker-Anderson,when,Jessica Ramsey,6148,37,61,63611,5,7,Python,Desktop,Web site,Design,6,"word, by, it"
Matthews-Weiss,guy,Timothy Garcia,5703,14,209,88274,1,7,Java,Web,Web site,Development,1,"budget, goal, in"
"Hudson, Vasquez and Stewart",much,Susan Rosales,9385,17,360,32261,4,9,Kotlin,Desktop,Application,Testing,3,"production, tree, author"
"Smith, Ross and Key",maybe,Amy Bruce,3969,43,316,31836,4,7,Python,Desktop,Web site,Design,3,"respond, attention, opportunity"
"Robertson, Phillips and Diaz",not,Aaron Mata,7321,42,400,14664,1,1,Kotlin,Mobile,Web site,Deployment,3,"buy, next, rather"
"Ellis, Jones and Delgado",story,Shane Green,5063,46,176,2723,5,5,Kotlin,Web,Application,Testing,3,"quite, husband, question"
Thompson-Tran,animal,Steven Taylor,1816,5,206,38959,5,8,Javascript,Desktop,Web site,Development,3,"already, information, word"
Russell-Caldwell,recent,Tanya Davis,3906,47,39,75583,4,14,Kotlin,Mobile,Web site,Design,1,"common, operation, answer"
"Williams, Huerta and Barron",life,Mrs. Rebecca Hall,4321,45,467,22840,5,7,Javascript,Desktop,Management System,Design,1,"who, improve, life"
"Edwards, Sandoval and Mcdonald",hotel,Elizabeth Cole,419,49,191,25482,4,7,Java,Desktop,Management System,Testing,6,"evidence, room, magazine"
Ray PLC,early,Colleen Mayo,4144,0,212,57424,2,1,Python,Mobile,Web site,Testing,4,"create, evidence, mind"
Santos Group,ago,Robert Smith,8979,17,264,54148,1,4,Python,Web,Application,Development,5,"dog, concern, fish"
Brooks Group,despite,Joseph Ray,801,11,348,8000,3,8,Kotlin,Desktop,Management System,Design,7,"administration, director, purpose"
Bernard-Singh,show,Paul Burton,3005,0,129,61108,3,8,Javascript,Web,Management System,Testing,3,"account, late, quite"
Clark Inc,you,Chase Schneider,9536,37,358,77987,5,6,Python,Desktop,Application,Design,4,"recent, care, agreement"
"Jackson, White and Hall",far,Ashley Reid,5172,43,447,79073,5,5,Java,Desktop,Web site,Development,1,"me, idea, score"
Smith PLC,kid,Miss Catherine Cardenas MD,6889,23,347,22269,1,1,Kotlin,Mobile,Web site,Deployment,1,"treatment, head, sit"
Knox-Fitzgerald,view,Daniel Lowery,952,4,419,1803,3,1,Java,Web,Web site,Deployment,3,"least, trouble, direction"
Mitchell LLC,whether,Eric Watts,5345,15,40,29993,4,5,Python,Desktop,Web site,Design,1,"alone, land, make"
Gardner-Thompson,speak,Stephen Williams,3852,0,124,88713,1,4,Kotlin,Web,Application,Deployment,6,"forget, prepare, meet"
Welch-Randall,determine,Philip Stevenson,6721,36,272,69909,4,15,Python,Web,Management System,Deployment,10,"and, give, late"
Stanley LLC,song,Annette Alexander,8178,19,138,8162,2,7,Java,Desktop,Application,Testing,9,"find, difference, leave"
Anderson-Williams,gun,Victoria Jennings,5699,19,125,26598,1,9,Java,Mobile,Management System,Design,9,"fly, TV, son"
"Douglas, Jones and Davis",air,Lauren Chavez,9376,11,331,4431,4,14,Java,Desktop,Management System,Testing,2,"environmental, win, could"
Mitchell Inc,town,Mr. Raymond Olson,9568,41,360,24272,3,5,Javascript,Mobile,Application,Deployment,9,"attack, than, determine"
Holt Group,create,Chelsea Rodriguez,3004,43,478,92858,5,14,Java,Desktop,Management System,Testing,6,"magazine, surface, same"
Silva and Sons,gas,Ashley Smith,1834,22,444,4651,5,12,Javascript,Web,Management System,Testing,10,"about, but, house"
Russell-Ford,world,Robert Harrison PhD,521,36,493,7865,4,7,Javascript,Desktop,Web site,Development,10,"laugh, eight, see"
Mora Group,expect,Todd King,4177,23,237,9523,3,15,Javascript,Desktop,Application,Development,1,"move, common, boy"
